sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
2845,17788871,Marvel,ML24BCF***1,266,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
2846,17788872,Marvel,ML24BCP***1,227,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
2848,17788874,Marvel,MP24BCG***1,263,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
2890,18460408,Marvel,MP36BF2**,568,Refrigerator,Automatic,Bottom,578.23,10,No,431.83,146.4,0.3390223,
2891,18460409,Marvel,MP42SS2**,619,Refrigerator,Automatic,Side,716.98,12,No,446.27,270.71,0.606605866,
2892,18460410,Marvel,MP48SS2**,650,Refrigerator,Automatic,Side,822.6,14,No,551.89,270.71,0.490514414,
2893,18460411,Marvel,MP30RA2**,430,Refrigerator,Automatic,No freezer,504.04,8,No,504.04,0,0,
2894,18460412,Marvel,MP36RA2**,489,Refrigerator,Automatic,No freezer,622.97,10,No,622.97,0,0,
702,19248448,Master Chef,043-0289-2,220,Compact refrigerator,Manual,No freezer,93,1,No,93,0,0,
863,7571999,Master Chef,043-0290-6,226,Compact refrigerator,Manual,No freezer,118,1,No,117.8,0,0,
868,19248446,Master Chef,043-0288-4,207,Compact refrigerator,Manual,No freezer,44,0,No,44,0,0,
929,17699128,Master Chef,043-0290,226,Compact refrigerator,Manual,No freezer,124,1,No,124,0,0,
1299,19248450,Master Chef,043-0291-4,240,Compact refrigerator,Partial automatic,Inside,87,1,No,62,25,0.403225806,
2217,7038037,Master Chef,043-0289-2,317.4,Compact refrigerator,Manual,No freezer,83,1,No,83,0,0,
2529,7038036,Master Chef,043-0288-4,252,Compact refrigerator,Manual,No freezer,45,0,No,45,0,0,
2643,8568698,Master Chef,043-0291-4,338,Compact refrigerator,Partial automatic,Inside,82.1,1,No,56.6,25.5,0.450530035,
2663,7038040,Master Chef,043-0291-4,339,Compact refrigerator,Manual,Inside,88,1,No,60,28,0.466666667,
17,216739,Maytag,MTB1502ARQ,447,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
